keywords,siglaTipo,sexo
 dispensa,PL,NA
 registro,PL,NA
 órgão de classe profissional,PL,NA
 exercício profissional.,PL,NA
Alteração,PL,masculino
 Lei de Saneamento Básico,PL,masculino
 Lei dos Fundos Constitucionais,PL,masculino
 priorização,PL,masculino
 segurança hídrica,PL,masculino
 região geográfica,PL,masculino
 variação,PL,masculino
 fenômeno meteorológico,PL,masculino
 destinação,PL,masculino
 recursos,PL,masculino
 fundo constitucional,PL,masculino
 obra pública,PL,masculino
 abastecimento de água,PL,masculino
 esgoto sanitário,PL,masculino
 manuseio,PL,masculino
 resíduo sólido,PL,masculino
 água pluvial,PL,masculino
 fomento,PL,masculino
 concessionária de serviços públicos,PL,masculino
 saneamento básico,PL,masculino
 concessão,PL,masculino
 financiamento,PL,masculino
 Programa Cisternas.,PL,masculino
Constituição Federal (1988),PEC,NA
 federalização,PEC,NA
 salário,PEC,NA
 professor,PEC,NA
 Estado (ente federado),PEC,NA
 Município,PEC,NA
 Distrito Federal (Brasil).,PEC,NA
Constituição Federal (1988),PEC,NA
 percentual,PEC,NA
 emenda individual,PEC,NA
 bolsa de estudo,PEC,NA
 educação superior.,PEC,NA
Constituição Federal (1988),PEC,NA
 isenção tributária,PEC,NA
 Imposto sobre a Renda da Pessoa Física (IRPF),PEC,NA
 professor,PEC,NA
 benefício fiscal.,PEC,NA
Obrigatoriedade,PL,masculino
 aplicativo de relacionamento,PL,masculino
 internet,PL,masculino
 prevenção,PL,masculino
 controle,PL,masculino
 aids,PL,masculino
 virus HIV,PL,masculino
 doença sexualmente transmissível (DST).,PL,masculino
Alteração,PL,masculino
 Consolidação das Leis do Trabalho (CLT),PL,masculino
 Falta ao trabalho,PL,masculino
 inscrição,PL,masculino
 atualização,PL,masculino
 dados,PL,masculino
 Registro Nacional de Doadores de Medula Óssea (REDOME),PL,masculino
 doação,PL,masculino
 medula óssea,PL,masculino
 Doação de órgão ou tecido.,PL,masculino
Isenção,PL,masculino
 pedágio,PL,masculino
 veículo de coleção.,PL,masculino
Isenção,PL,masculino
 pedágio,PL,masculino
 veículo oficial,PL,masculino
 Poder Público,PL,masculino
 veículo,PL,masculino
 Policial Militar,PL,masculino
 agente penitenciário,PL,masculino
 bombeiro militar,PL,masculino
 guarda municipal,PL,masculino
 pessoa com deficiência.,PL,masculino
Pedágio,PL,masculino
 pagamento,PL,masculino
 cartão de débito.,PL,masculino
Alteração,PL,masculino
 Estatuto do Idoso,PL,masculino
 aumento,PL,masculino
 percentual,PL,masculino
 reserva,PL,masculino
 habitação,PL,masculino
 idoso,PL,masculino
 programa habitacional,PL,masculino
 governo.,PL,masculino
Alteração,PL,NA
 Estatuto da Criança e do Adolescente (ECA),PL,NA
 remuneração,PL,NA
 Conselheiro Tutelar.,PL,NA
Alteração,PL,masculino
 Lei do Programa Bolsa Família,PL,masculino
 ampliação,PL,masculino
 condição,PL,masculino
 beneficiamento,PL,masculino
 bolsa Família,PL,masculino
 proteção,PL,masculino
 criança,PL,masculino
 adolescente.,PL,masculino
Calamidade pública,PL,masculino
 finanças públicas,PL,masculino
 Estado (ente federado),PL,masculino
 Município,PL,masculino
 Distrito Federal.,PL,masculino
Admissão,PL,masculino
 animal doméstico,PL,masculino
 unidade de saúde,PL,masculino
 hospital,PL,masculino
 Sistema Único de Saúde (SUS).,PL,masculino
Alteração,PL,masculino
 Estatuto da Cidade,PL,masculino
 inclusão,PL,masculino
 Estudo prévio de impacto de vizinhança (EIV),PL,masculino
 estacionamento,PL,masculino
 veículo terrestre,PL,masculino
 segurança pública.,PL,masculino
Alteração,PL,masculino
 Lei Geral do Turismo,PL,masculino
 inclusão,PL,masculino
 Fundo Geral de Turismo (Fungetur),PL,masculino
 fonte de recursos,PL,masculino
 subvenção,PL,masculino
 aviação regional,PL,masculino
 facilitação,PL,masculino
 acesso,PL,masculino
 região geográfica,PL,masculino
 atração turística.,PL,masculino
Constituição Federal (1988),PEC,NA
 critério,PEC,NA
 eleição,PEC,NA
 deputado federal,PEC,NA
 sistema eleitoral proporcional,PEC,NA
 senador,PEC,NA
 percentual,PEC,NA
 voto,PEC,NA
 candidato eleito. _Alteração,PEC,NA
 revogação,PEC,NA
 dispositivo legal,PEC,NA
 Ato das Disposições Constitucionais Transitórias (ADCT),PEC,NA
 irredutibilidade,PEC,NA
 número,PEC,NA
 deputado federal.,PEC,NA
Alteração,PL,masculino
 Lei de Licitação,PL,masculino
 critério de desempate,PL,masculino
  licitação,PL,masculino
 bens,PL,masculino
 serviços,PL,masculino
 empresa,PL,masculino
 atenuação,PL,masculino
 gases de efeito estufa,PL,masculino
 mudança climática,PL,masculino
  preservação ambiental,PL,masculino
 margem de preferência,PL,masculino
  material reciclado,PL,masculino
 Produto biodegradável.,PL,masculino
Alteração,PL,masculino
 Lei do Gerenciamento Costeiro,PL,masculino
 Plano Nacional de Gerenciamento Costeiro,PL,masculino
 controle,PL,masculino
 emissão,PL,masculino
 coleta,PL,masculino
 resíduo sólido.   _ Alteração,PL,masculino
 Lei de resíduos sólidos,PL,masculino
 Política Nacional de Resíduos Sólidos,PL,masculino
 Plano Nacional de Resíduos Sólidos (PNRS),PL,masculino
 controle,PL,masculino
 emissão,PL,masculino
 coleta,PL,masculino
 resíduo sólido,PL,masculino
 praia,PL,masculino
 nascente d' água,PL,masculino
 curso de água,PL,masculino
 água do mar,PL,masculino
 preservação ambiental,PL,masculino
  redução,PL,masculino
 lixo,PL,masculino
 plástico.,PL,masculino
Micro câmera,PL,masculino
 equipamento,PL,masculino
 uso pessoal,PL,masculino
 polícia,PL,masculino
 segurança pública.,PL,masculino
Alteração,PL,masculino
 lei federal,PL,masculino
 obrigatoriedade,PL,masculino
 empresa,PL,masculino
 beneficiamento,PL,masculino
 comercialização,PL,masculino
 laticínio,PL,masculino
 contrato,PL,masculino
 produtor,PL,masculino
 fornecimento,PL,masculino
 aquisição,PL,masculino
 leite,PL,masculino
 preço mínimo.,PL,masculino
Correção monetária,PL,masculino
 tabela,PL,masculino
 Imposto sobre a Renda da Pessoa Física (IRPF),PL,masculino
 dedução,PL,masculino
 índice de atualização monetária,PL,masculino
 inflação oficial.,PL,masculino
Alteração,PL,masculino
 Lei Anticorrupção,PL,masculino
 Código de Processo Penal,PL,masculino
 perdimento,PL,masculino
 imóvel rural,PL,masculino
 crime,PL,masculino
 corrupção,PL,masculino
 critério,PL,masculino
 destinação,PL,masculino
 reforma agrária.,PL,masculino
Alteração,PL,masculino
 Código de Trânsito Brasileiro,PL,masculino
 opção,PL,masculino
 motorista profissional,PL,masculino
  participação,PL,masculino
 caráter preventivo,PL,masculino
 curso de reciclagem,PL,masculino
 eliminação,PL,masculino
 pontuação,PL,masculino
 prontuário.,PL,masculino
Denominação,PL,masculino
 trecho rodoviário,PL,masculino
 rodovia federal,PL,masculino
 Paraíba,PL,masculino
 padre,PL,masculino
 homenagem póstuma.,PL,masculino
Alteração,PL,NA
 Consolidação das Leis do Trabalho (CLT),PL,NA
 jornada de trabalho,PL,NA
 condutor,PL,NA
 ambulância.,PL,NA
Alteração,PL,NA
 Código Brasileiro de Aeronáutica,PL,NA
 critério,PL,NA
 substituição,PL,NA
 penalidade administrativa,PL,NA
 advertência,PL,NA
 infração,PL,NA
 aviação civil.,PL,NA
Alteração,PL,masculino
 lei federal,PL,masculino
 isenção tributária,PL,masculino
 Imposto sobre Operações de Crédito,PL,masculino
 Câmbio e Seguro ou Relativas a Títulos ou Valores Mobiliários (IOF),PL,masculino
 financiamento,PL,masculino
 veículo terrestre,PL,masculino
 Pessoa com deficiência intelectual,PL,masculino
 pessoa com deficiência severa,PL,masculino
 doença crônica,PL,masculino
 doença grave,PL,masculino
 doença degenerativa,PL,masculino
  pessoa com transtorno do espectro autista,PL,masculino
 benefício fiscal. _Alteração,PL,masculino
 Lei de Isenção do IPI para Compra de Automóveis,PL,masculino
 isenção tributária,PL,masculino
 Imposto sobre produtos industrializados (IPI),PL,masculino
 veículo automotor,PL,masculino
 pessoa,PL,masculino
 doença crônica,PL,masculino
 doença grave,PL,masculino
 doença degenerativa,PL,masculino
 laudo médico,PL,masculino
 Departamento de Trânsito (Detran).,PL,masculino
Alteração,PL,masculino
 Lei de Benefícios da Previdência Social,PL,masculino
 encerramento,PL,masculino
 benefício previdenciário,PL,masculino
 auxílio-doença,PL,masculino
 incapacidade laborativa,PL,masculino
 incapacidade parcial,PL,masculino
 Instituto Nacional do Seguro Social (INSS),PL,masculino
 perícia médica.,PL,masculino
Alteração,PL,masculino
 Lei do Pregão,PL,masculino
 aplicação,PL,masculino
 penalidade administrativa,PL,masculino
 licitação,PL,masculino
 pregão,PL,masculino
 restrição,PL,masculino
 âmbito,PL,masculino
 interior,PL,masculino
 ente federado.,PL,masculino
Constituição Federal (1988),PEC,masculino
 critério,PEC,masculino
 escolha,PEC,masculino
 nomeação,PEC,masculino
 Ministro do Supremo Tribunal Federal.,PEC,masculino
Alteração,PL,masculino
 Lei Federal,PL,masculino
 aumento,PL,masculino
 prazo,PL,masculino
 dedução,PL,masculino
 Declaração de Imposto de Renda das Pessoas Jurídicas,PL,masculino
 valor,PL,masculino
 doação,PL,masculino
 patrocínio,PL,masculino
 favorecimento,PL,masculino
 Programa Nacional de Apoio à Atenção Oncológica (PRONON),PL,masculino
 Programa Nacional de Apoio à Atenção da Saúde da Pessoa com Deficiência (PRONAS/PCD),PL,masculino
 Ministério da Saúde.,PL,masculino
Constituição Federal (1988),PEC,feminino
 seguridade social,PEC,feminino
 respeito,PEC,feminino
 expectativa de direito,PEC,feminino
 matéria previdenciária.,PEC,feminino
Alteração,PL,masculino
 Código de Trânsito Brasileiro,PL,masculino
 critério,PL,masculino
 aplicação,PL,masculino
 determinação,PL,masculino
 Conselho Nacional de Trânsito (Contran),PL,masculino
 reajuste,PL,masculino
 taxa,PL,masculino
 multa,PL,masculino
 despesa,PL,masculino
  Carteira Nacional de Habilitação (CNH).,PL,masculino
Alteração,PL,masculino
 Lei da Compensação Financeira pelos Recursos Minerais Renováveis,PL,masculino
 alíquota,PL,masculino
 Compensação Financeira pela Exploração de Recursos Minerais (CFEM),PL,masculino
  rocha ornamental,PL,masculino
 pedra preciosa,PL,masculino
 critério,PL,masculino
 redução,PL,masculino
 alíquota,PL,masculino
 ferro.   _Revogação,PL,masculino
 dispositivo legal,PL,masculino
  lei federal,PL,masculino
   alíquota,PL,masculino
 Compensação Financeira pela Exploração de Recursos Minerais (CFEM).,PL,masculino
Criação,PL,masculino
 Programa Atividade Física,PL,masculino
 Sistema único de Saúde (SUS),PL,masculino
 atividade física,PL,masculino
 política pública,PL,masculino
 saúde pública.,PL,masculino
Alteração,PL,masculino
 Marco Civil da Internet,PL,masculino
 delegado de polícia,PL,masculino
 acesso,PL,masculino
 dados pessoais,PL,masculino
 aplicativo de mensagens multiplataforma,PL,masculino
 dispositivo móvel,PL,masculino
 aplicativo Whatsapp,PL,masculino
 internet,PL,masculino
 flagrante delito,PL,masculino
 persecução penal,PL,masculino
 crime hediondo,PL,masculino
 tráfico de droga,PL,masculino
 terrorismo,PL,masculino
 dispensa,PL,masculino
 autorização judicial.,PL,masculino
Alteração,PL,masculino
 Lei Federal de Emolumentos,PL,masculino
 isenção,PL,masculino
 custas,PL,masculino
 emolumento,PL,masculino
 registro,PL,masculino
 matrícula,PL,masculino
 averbação,PL,masculino
 bens,PL,masculino
 tombamento,PL,masculino
 patrimônio público.,PL,masculino
Criação,PL,masculino
 Dia Nacional do Professor de Ensino Religioso,PL,masculino
 comemoração,PL,masculino
 setembro,PL,masculino
 educação,PL,masculino
 ensino religioso.,PL,masculino
Título de Capital Nacional,PL,masculino
 Capital Nacional da Imigração Italiana,PL,masculino
 São João Batista (SC),PL,masculino
 Santa Catarina.  _Revogação,PL,masculino
 lei federal,PL,masculino
 reconhecimento,PL,masculino
 Santa Teresa (ES),PL,masculino
 Espírito Santo (Estado),PL,masculino
 imigração,PL,masculino
 país estrangeiro,PL,masculino
 Itália,PL,masculino
 Calendário Oficial de Datas e Eventos Brasileiro.,PL,masculino
Título de Capital Nacional,PL,masculino
 Capital Nacional da Imigração Italiana,PL,masculino
 São João Batista (SC),PL,masculino
 Santa Catarina.  _Revogação,PL,masculino
 lei federal,PL,masculino
 reconhecimento,PL,masculino
 Santa Teresa (ES),PL,masculino
 Espírito Santo (Estado),PL,masculino
 imigração,PL,masculino
 país estrangeiro,PL,masculino
 Itália,PL,masculino
 Calendário Oficial de Datas e Eventos Brasileiro.,PL,masculino
Alteração,PL,masculino
 Legislação Tributária Federal,PL,masculino
 Imposto sobre a Renda da Pessoa Física (IRPF),PL,masculino
 desconto simplificado,PL,masculino
 dedução,PL,masculino
 doação,PL,masculino
 Fundos de Direitos das Crianças e dos Adolescentes,PL,masculino
 Fundo Nacional do Idoso,PL,masculino
 Fundo Estadual do Idoso,PL,masculino
 Fundo Municipal do Idoso,PL,masculino
 tributação.,PL,masculino
Alteração,PL,masculino
 Lei do Programa Minha Casa,PL,masculino
 Minha Vida,PL,masculino
  Bioconstrução,PL,masculino
 Programa Minha Casa,PL,masculino
 Minha Vida (PMCMV).,PL,masculino
Alteração,PL,masculino
 Lei dos Juizados Especiais Cíveis e Criminais,PL,masculino
 juizado especial criminal,PL,masculino
 registro,PL,masculino
 infração penal,PL,masculino
 autoridade competente,PL,masculino
 autoridade policial,PL,masculino
 polícia civil,PL,masculino
 polícia militar. _Alteração,PL,masculino
 Código de Processo Penal,PL,masculino
 registro,PL,masculino
 prisão em flagrante,PL,masculino
 autoridade competente,PL,masculino
 autoridade policial,PL,masculino
 polícia civil,PL,masculino
 polícia militar. _Alteração,PL,masculino
 Estatuto da Criança e do Adolescente (ECA),PL,masculino
 apreensão,PL,masculino
 adolescente em conflito com a lei,PL,masculino
 autoridade competente,PL,masculino
 autoridade policial,PL,masculino
 polícia civil,PL,masculino
 polícia militar. _Alteração,PL,masculino
 Lei Maria da Penha,PL,masculino
 registro,PL,masculino
 violência doméstica,PL,masculino
 autoridade competente,PL,masculino
 autoridade policial,PL,masculino
 polícia civil,PL,masculino
 polícia militar,PL,masculino
 violência contra a mulher.,PL,masculino
Alteração,PL,masculino
 lei federal,PL,masculino
 Sistema Nacional de Viação (SNV),PL,masculino
 autorização,PL,masculino
 empreendimento familiar rural,PL,masculino
 faixa de domínio,PL,masculino
 rodovia federal.,PL,masculino
Denominação,PL,masculino
 viaduto,PL,masculino
 área urbana,PL,masculino
 Marechal Cândido Rondon (PR),PL,masculino
 Paraná,PL,masculino
 homenagem póstuma,PL,masculino
 humorista.,PL,masculino
Alteração,PL,masculino
 Lei do Parcelamento do Solo Urbano,PL,masculino
 redução,PL,masculino
 espaço físico,PL,masculino
 construção,PL,masculino
 faixa de domínio,PL,masculino
 rodovia federal,PL,masculino
 ferrovia federal .,PL,masculino
Alteração,PL,masculino
 lei federal,PL,masculino
 revogação,PL,masculino
 dispositivo legal,PL,masculino
 prerrogativa,PL,masculino
 Conselho de Arquitetura e Urbanismo do Brasil (CAU/BR),PL,masculino
 atividade privativa,PL,masculino
 arquiteto,PL,masculino
 urbanista,PL,masculino
 atividade,PL,masculino
 compartilhamento.,PL,masculino
Título de Capital Nacional,PL,masculino
 Capital Nacional do Patriotismo,PL,masculino
 Macatuba (SP),PL,masculino
 São Paulo (Estado).,PL,masculino
Título de Capital Nacional,PL,masculino
 Capital Nacional da Selaria,PL,masculino
 Dores de Campos (MG),PL,masculino
 Minas Gerais.,PL,masculino
Alteração,PL,masculino
 Código de Trânsito Brasileiro,PL,masculino
 subdelegação de competência,PL,masculino
 Departamento de Trânsito (Detran),PL,masculino
  Estado (ente federado),PL,masculino
 Distrito Federal (Brasil),PL,masculino
   setor privado,PL,masculino
 permissão para dirigir,PL,masculino
 Carteira Nacional de Habilitação (CNH),PL,masculino
 Certificado de Registro e Licenciamento de Veículo (CRLV),PL,masculino
 cadastro,PL,masculino
 despachante de trânsito.,PL,masculino
Obrigatoriedade,PL,masculino
 agente financeiro,PL,masculino
 operação financeira,PL,masculino
 agronegócio,PL,masculino
 informação,PL,masculino
 Banco Central do Brasil (Bacen),PL,masculino
 operação de crédito,PL,masculino
 financiamento,PL,masculino
 produtor rural.,PL,masculino
Alteração,PL,feminino
 Código de Trânsito Brasileiro,PL,feminino
 proibição,PL,feminino
 substituição,PL,feminino
 pena privativa de liberdade,PL,feminino
 pena restritiva de direitos,PL,feminino
 crime de trânsito,PL,feminino
 homicídio culposo,PL,feminino
 condução sob efeito de álcool,PL,feminino
 condução sob efeito de substância psicoativa,PL,feminino
 disputa automobilística ilegal,PL,feminino
 lesão corporal grave,PL,feminino
 falecimento,PL,feminino
 trânsito.,PL,feminino
Empreendimento,PL,masculino
 turismo rural,PL,masculino
 agricultura familiar,PL,masculino
 turismo sustentável,PL,masculino
 definição,PL,masculino
 princípios,PL,masculino
 regulamentação,PL,masculino
 comércio,PL,masculino
 produto agroalimentar.,PL,masculino
Alteração,PL,masculino
 Código Civil (2002),PL,masculino
 companheiro,PL,masculino
 cônjuge sobrevivente,PL,masculino
 habitação (direito real).,PL,masculino
Alteração,PL,masculino
 Código de Processo Penal,PL,masculino
 obrigatoriedade,PL,masculino
 acusado,PL,masculino
 comprovação,PL,masculino
 origem lícita,PL,masculino
 honorários advocatícios.,PL,masculino
Alteração,PL,masculino
 Lei Antidrogas (2006),PL,masculino
 revogação,PL,masculino
 dispositivo legal,PL,masculino
 réu primário,PL,masculino
 pena,PL,masculino
 tráfico de droga,PL,masculino
 regime aberto.,PL,masculino
Alteração,PL,masculino
 Lei de Execução Penal,PL,masculino
 preso condenado,PL,masculino
 crime,PL,masculino
 tráfico de droga,PL,masculino
 violência,PL,masculino
 grave ameaça,PL,masculino
 forma,PL,masculino
 cumprimento,PL,masculino
 pena,PL,masculino
 aumento,PL,masculino
 prazo,PL,masculino
 progressão de regime prisional.  _Alteração,PL,masculino
 Lei dos Crimes Hediondos,PL,masculino
 aumento,PL,masculino
 prazo,PL,masculino
 progressão de regime prisional,PL,masculino
 crime hediondo,PL,masculino
 tráfico de droga,PL,masculino
 tortura,PL,masculino
 terrorismo.   _Alteração,PL,masculino
 Código Penal,PL,masculino
 requisito,PL,masculino
 livramento condicional,PL,masculino
 preso condenado,PL,masculino
 pena privativa de liberdade.   _Alteração,PL,masculino
 Lei Antidrogas (2006),PL,masculino
 tráfico de drogas,PL,masculino
 aumento,PL,masculino
 prazo,PL,masculino
 livramento condicional.,PL,masculino
Área de Livre Comércio de Barcarena (Alcoba),PL,masculino
  Pará,PL,masculino
 desenvolvimento regional.,PL,masculino
Alteração,PL,masculino
 Código Penal,PL,masculino
 Crime contra a inviolabilidade de domicílio,PL,masculino
 violação de domicílio,PL,masculino
 agravação penal,PL,masculino
 atividade,PL,masculino
 fiscalização,PL,masculino
 área rural,PL,masculino
 funcionário público,PL,masculino
 abuso de poder.   _ Alteração,PL,masculino
 Lei da Improbidade Administrativa,PL,masculino
 improbidade administrativa,PL,masculino
 exercício,PL,masculino
 servidor público,PL,masculino
 poder de polícia,PL,masculino
 fiscalização,PL,masculino
 área rural.,PL,masculino
Denominação,PL,masculino
 viaduto,PL,masculino
 rodovia federal,PL,masculino
 perímetro urbano,PL,masculino
 São José do Rio Preto (SP),PL,masculino
 São Paulo (Estado),PL,masculino
  ex-deputado federal,PL,masculino
 homenagem póstuma.,PL,masculino
Obrigatoriedade,PL,masculino
 comerciante,PL,masculino
 informação,PL,masculino
 Instituto de Defesa do Consumidor (PROCON) ,PL,masculino
 preço,PL,masculino
 produtos,PL,masculino
 promoção comercial,PL,masculino
Isenção,PL,masculino
 pagamento,PL,masculino
 pedágio,PL,masculino
 rodovia federal,PL,masculino
 proprietário,PL,masculino
 veículo,PL,masculino
 Policial federal,PL,masculino
 Policial rodoviário federal,PL,masculino
 Policial ferroviário federal,PL,masculino
 Bombeiro militar,PL,masculino
 Policial militar,PL,masculino
 Policial civil,PL,masculino
 Agente penitenciário,PL,masculino
 Guarda Municipal.,PL,masculino
Alteração,PL,masculino
 Lei das Concessões de Serviços Públicos,PL,masculino
 transferência,PL,masculino
 caráter temporário,PL,masculino
 Concessionário (administração pública),PL,masculino
 exigência,PL,masculino
 capacidade técnica,PL,masculino
 qualificação econômico-financeira.,PL,masculino
Alteração,PL,masculino
 Código Penal,PL,masculino
 tipicidade penal,PL,masculino
 Crime contra a inviolabilidade de segredo,PL,masculino
 divulgação,PL,masculino
 correio eletrônico,PL,masculino
 aplicativo whatsapp,PL,masculino
 detenção,PL,masculino
 multa.,PL,masculino
Alteração,PL,masculino
 Código Civil (2002),PL,masculino
 pensão alimentícia,PL,masculino
 pessoa,PL,masculino
 transtorno mental.,PL,masculino
Alteração,PL,masculino
 Lei do Crédito Consignado,PL,masculino
 empréstimo bancário,PL,masculino
  limite,PL,masculino
 desconto,PL,masculino
 conta bancária.,PL,masculino
Alteração,PL,masculino
 Código Penal,PL,masculino
 crime contra a honra,PL,masculino
 tipicidade penal,PL,masculino
 criação,PL,masculino
 divulgação,PL,masculino
 Notícia falsa (fake news),PL,masculino
 detenção,PL,masculino
 multa,PL,masculino
 agravação penal.,PL,masculino
Alteração,PL,masculino
 Lei do Saneamento Básico,PL,masculino
 exclusão,PL,masculino
 usuário de serviço,PL,masculino
 família de baixa renda,PL,masculino
 interrupção,PL,masculino
 abastecimento de água,PL,masculino
 inadimplência.,PL,masculino
Alteração,PL,masculino
 Lei do Saneamento Básico,PL,masculino
 exclusão,PL,masculino
 usuário de serviço,PL,masculino
 família de baixa renda,PL,masculino
 interrupção,PL,masculino
 abastecimento de água,PL,masculino
 inadimplência.,PL,masculino
Alteração,PL,feminino
 Lei do Saneamento Básico,PL,feminino
 exclusão,PL,feminino
 usuário de serviço,PL,feminino
 família de baixa renda,PL,feminino
 interrupção,PL,feminino
 abastecimento de água,PL,feminino
 inadimplência.,PL,feminino
Alteração,PL,masculino
 Lei do Saneamento Básico,PL,masculino
 exclusão,PL,masculino
 usuário de serviço,PL,masculino
 família de baixa renda,PL,masculino
 interrupção,PL,masculino
 abastecimento de água,PL,masculino
 inadimplência.,PL,masculino
Alteração,PL,masculino
 Lei do Saneamento Básico,PL,masculino
 exclusão,PL,masculino
 usuário de serviço,PL,masculino
 família de baixa renda,PL,masculino
 interrupção,PL,masculino
 abastecimento de água,PL,masculino
 inadimplência.,PL,masculino
Alteração,PL,masculino
 Lei do Saneamento Básico,PL,masculino
 exclusão,PL,masculino
 usuário de serviço,PL,masculino
 família de baixa renda,PL,masculino
 interrupção,PL,masculino
 abastecimento de água,PL,masculino
 inadimplência.,PL,masculino
Alteração,PL,masculino
 Lei do Saneamento Básico,PL,masculino
 exclusão,PL,masculino
 usuário de serviço,PL,masculino
 família de baixa renda,PL,masculino
 interrupção,PL,masculino
 abastecimento de água,PL,masculino
 inadimplência.,PL,masculino
Obrigatoriedade,PL,masculino
 identificação,PL,masculino
 apostador,PL,masculino
 jogo de azar,PL,masculino
 concurso de prognóstico,PL,masculino
 loteria,PL,masculino
 Caixa Econômica Federal (CEF),PL,masculino
 Cadastro de Pessoas Físicas (CPF),PL,masculino
 imprescritibilidade,PL,masculino
 prêmio,PL,masculino
 meio eletrônico.,PL,masculino
Obrigatoriedade,PL,masculino
 veículo nacional,PL,masculino
 dispositivo automático de acendimento de faróis,PL,masculino
 normatização,PL,masculino
  Conselho Nacional de Trânsito (Contran).,PL,masculino
Alteração,PL,masculino
 Código de Trânsito Brasileiro,PL,masculino
 inclusão,PL,masculino
 pavimentação asfáltica,PL,masculino
 via terrestre,PL,masculino
   recursos,PL,masculino
 multa de trânsito.,PL,masculino
Alteração,PL,masculino
 lei federal,PL,masculino
  operação de crédito,PL,masculino
 crédito rural,PL,masculino
 exigência,PL,masculino
 prestação,PL,masculino
 assistência técnica,PL,masculino
 produtor rural,PL,masculino
 monitoramento,PL,masculino
 instituição financeira,PL,masculino
 prestação de serviço,PL,masculino
  Assistência Técnica e Extensão Rural (ATER).,PL,masculino
Alteração,PL,feminino
 Consolidação,PL,feminino
 das Leis do Trabalho (CLT),PL,feminino
 garantia,PL,feminino
 gozo de férias trabalhador,PL,feminino
 filho,PL,feminino
 pessoa com deficiência,PL,feminino
 férias escolares.,PL,feminino
Alteração,PL,masculino
 Consolidação das Leis do Trabalho (CLT),PL,masculino
 penalidade pecuniária,PL,masculino
 sindicato,PL,masculino
 desconto,PL,masculino
 contribuição sindical,PL,masculino
 trabalhador,PL,masculino
 aposentado,PL,masculino
 ausência,PL,masculino
 autorização.,PL,masculino
Alteração,PL,masculino
 Lei da Compensação Financeira pelos Recursos Minerais Renováveis,PL,masculino
 obrigatoriedade,PL,masculino
 guia de recolhimento,PL,masculino
 Compensação Financeira pela Exploração de Recursos Minerais (CFEM),PL,masculino
 exportação,PL,masculino
 bens minerais,PL,masculino
 garimpagem,PL,masculino
 Regime de permissão de lavra garimpeira.,PL,masculino
Alteração,PL,masculino
 Lei do Imposto de Consumo,PL,masculino
 obrigatoriedade,PL,masculino
 nota fiscal,PL,masculino
 número,PL,masculino
 lote (produto),PL,masculino
 identificação,PL,masculino
 transporte de carga,PL,masculino
 roubo,PL,masculino
 carga.,PL,masculino
Alteração,PL,masculino
 Código Penal,PL,masculino
 Crime contra a segurança dos meios de comunicação e transporte e outros serviços,PL,masculino
 tipicidade penal,PL,masculino
 ligação telefônica,PL,masculino
 trote telefônico,PL,masculino
 serviços públicos de emergência.,PL,masculino
Alteração,PL,masculino
 Estatuto da OAB,PL,masculino
 prazo,PL,masculino
 isenção,PL,masculino
 contribuição associativa,PL,masculino
 estagiário,PL,masculino
 advogado.,PL,masculino
Transferência,PL,masculino
 Espírito Santo (Estado),PL,masculino
 domínio pleno,PL,masculino
 terreno de marinha.,PL,masculino
Alteração,PL,masculino
 decreto-lei,PL,masculino
 prazo determinado,PL,masculino
 União,PL,masculino
 publicação,PL,masculino
 meio eletrônico,PL,masculino
 mapa geográfico,PL,masculino
 terreno de marinha,PL,masculino
 transparência pública.,PL,masculino
Alteração,PL,feminino
 Código Eleitoral (1965),PL,feminino
 voto em trânsito,PL,feminino
 eleitor em trânsito,PL,feminino
 membro,PL,feminino
 Forças Armadas,PL,feminino
 profissional da segurança pública,PL,feminino
 guarda municipal.,PL,feminino
Alteração,PL,masculino
 Código Eleitoral (1965),PL,masculino
 voto em trânsito,PL,masculino
 eleitor em trânsito,PL,masculino
 membro,PL,masculino
 Forças Armadas,PL,masculino
 profissional da segurança pública,PL,masculino
 guarda municipal.,PL,masculino
Alteração,PL,masculino
 Código Eleitoral (1965),PL,masculino
 voto em trânsito,PL,masculino
 eleitor em trânsito,PL,masculino
 membro,PL,masculino
 Forças Armadas,PL,masculino
 profissional da segurança pública,PL,masculino
 guarda municipal.,PL,masculino
Alteração,PL,masculino
 Código Eleitoral (1965),PL,masculino
 voto em trânsito,PL,masculino
 eleitor em trânsito,PL,masculino
 membro,PL,masculino
 Forças Armadas,PL,masculino
 profissional da segurança pública,PL,masculino
 guarda municipal.,PL,masculino
Alteração,PL,masculino
 Código Eleitoral (1965),PL,masculino
 voto em trânsito,PL,masculino
 eleitor em trânsito,PL,masculino
 membro,PL,masculino
 Forças Armadas,PL,masculino
 profissional da segurança pública,PL,masculino
 guarda municipal.,PL,masculino
Alteração,PL,masculino
 Código Eleitoral (1965),PL,masculino
 voto em trânsito,PL,masculino
 eleitor em trânsito,PL,masculino
 membro,PL,masculino
 Forças Armadas,PL,masculino
 profissional da segurança pública,PL,masculino
 guarda municipal.,PL,masculino
Alteração,PL,masculino
 Código Eleitoral (1965),PL,masculino
 voto em trânsito,PL,masculino
 eleitor em trânsito,PL,masculino
 membro,PL,masculino
 Forças Armadas,PL,masculino
 profissional da segurança pública,PL,masculino
 guarda municipal.,PL,masculino
