keywords,siglaTipo,sexo
 integralidade,PL,masculino
 regime fechado. _Revogação,PL,masculino
 dispositivo legal,PL,masculino
 progressão de regime prisional,PL,masculino
 preso condenado,PL,masculino
 crime hediondo,PL,masculino
 tortura,PL,masculino
 tráfico de droga,PL,masculino
 terrorismo.,PL,masculino
Alteração,PL,masculino
 Lei Federal,PL,masculino
 obrigatoriedade,PL,masculino
 Registro Civil de Pessoas Naturais,PL,masculino
 identificação biométrica,PL,masculino
 recém-nascido,PL,masculino
 prazo,PL,masculino
 hospital público,PL,masculino
 hospital particular,PL,masculino
 informação,PL,masculino
 Sistema Nacional de Informações de Registro Civil (Sirc).,PL,masculino
Alteração,PL,masculino
 Código Penal,PL,masculino
 crime contra a liberdade sexual,PL,masculino
 tipicidade penal,PL,masculino
 violência sexual,PL,masculino
 transporte público,PL,masculino
 reclusão,PL,masculino
 multa.,PL,masculino
Criação,PL,masculino
 Cadastro Nacional de Violência contra a Mulher,PL,masculino
 banco de dados.,PL,masculino
Alteração,PL,masculino
 Lei do Inquilinato (1991),PL,masculino
 obrigatoriedade,PL,masculino
 locador,PL,masculino
 transferência,PL,masculino
 responsabilidade,PL,masculino
 conta de água,PL,masculino
 esgoto sanitário,PL,masculino
 conta de energia elétrica,PL,masculino
 locatário,PL,masculino
 descumprimento,PL,masculino
 responsabilidade solidária,PL,masculino
 inadimplemento. _Locatário,PL,masculino
 pagamento,PL,masculino
 conta de água,PL,masculino
 esgoto sanitário,PL,masculino
 conta de energia elétrica.,PL,masculino
Alteração,PL,masculino
 Decreto-Lei,PL,masculino
 lei federal,PL,masculino
 medida provisória,PL,masculino
  contribuição voluntária,PL,masculino
 contribuição social,PL,masculino
 Sistema S,PL,masculino
  Serviço Nacional de Aprendizagem Industrial (Senai),PL,masculino
 Serviço Nacional de Aprendizagem do Comércio (Senac),PL,masculino
 Serviço Social da Indústria (Sesi),PL,masculino
 Serviço Social do Comércio (Sesc),PL,masculino
 Serviço Nacional de Aprendizagem Rural (Senar),PL,masculino
 Serviço Nacional de Aprendizagem do Transporte (SENAT),PL,masculino
 Serviço Social do Transporte (Sest),PL,masculino
